"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1373","unstructured",1373,170,6,"B.F.A2.C3.D.A2.E3.B.",5,"D",14,16,7
"1374","unstructured",1374,170,6,"B.F.A2.C3.D.A2.E3.B.",6,"A2",2,16,7
"1375","unstructured",1375,170,6,"B.F.A2.C3.D.A2.E3.B.",7,"E3",23,16,7
"1376","unstructured",1376,170,6,"B.F.A2.C3.D.A2.E3.B.",8,"B",4,16,7
"1377","unstructured",1377,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1378","unstructured",1378,171,6,"F.A1.D.C3.E3.D.B.E3.",1,"F",24,25,7
"1379","unstructured",1379,171,6,"F.A1.D.C3.E3.D.B.E3.",2,"A1",1,25,7
"1380","unstructured",1380,171,6,"F.A1.D.C3.E3.D.B.E3.",3,"D",14,25,7
"1381","unstructured",1381,171,6,"F.A1.D.C3.E3.D.B.E3.",4,"C3",13,25,7
"1382","unstructured",1382,171,6,"F.A1.D.C3.E3.D.B.E3.",5,"E3",23,25,7
"1383","unstructured",1383,171,6,"F.A1.D.C3.E3.D.B.E3.",6,"D",14,25,7
"1384","unstructured",1384,171,6,"F.A1.D.C3.E3.D.B.E3.",7,"B",4,25,7
"1385","unstructured",1385,171,6,"F.A1.D.C3.E3.D.B.E3.",8,"E3",23,25,7
"1386","unstructured",1386,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1387","unstructured",1387,172,6,"F.D.E3.C3.",1,"F",24,2,7
"1388","unstructured",1388,172,6,"F.D.E3.C3.",2,"D",14,2,7
"1389","unstructured",1389,172,6,"F.D.E3.C3.",3,"E3",23,2,7
"1390","unstructured",1390,172,6,"F.D.E3.C3.",4,"C3",13,2,7
"1391","unstructured",1391,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1392","unstructured",1392,173,6,"E1.B.D.F.B.A1.C3.A1.",1,"E1",21,22,7
"1393","unstructured",1393,173,6,"E1.B.D.F.B.A1.C3.A1.",2,"B",4,22,7
"1394","unstructured",1394,173,6,"E1.B.D.F.B.A1.C3.A1.",3,"D",14,22,7
"1395","unstructured",1395,173,6,"E1.B.D.F.B.A1.C3.A1.",4,"F",24,22,7
"1396","unstructured",1396,173,6,"E1.B.D.F.B.A1.C3.A1.",5,"B",4,22,7
"1397","unstructured",1397,173,6,"E1.B.D.F.B.A1.C3.A1.",6,"A1",1,22,7
"1398","unstructured",1398,173,6,"E1.B.D.F.B.A1.C3.A1.",7,"C3",13,22,7
"1399","unstructured",1399,173,6,"E1.B.D.F.B.A1.C3.A1.",8,"A1",1,22,7
"1400","unstructured",1400,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1401","unstructured",1401,174,6,"F.D.C2.E3.C1.D.F.E1.",1,"F",24,26,7
"1402","unstructured",1402,174,6,"F.D.C2.E3.C1.D.F.E1.",2,"D",14,26,7
"1403","unstructured",1403,174,6,"F.D.C2.E3.C1.D.F.E1.",3,"C2",12,26,7
"1404","unstructured",1404,174,6,"F.D.C2.E3.C1.D.F.E1.",4,"E3",23,26,7
"1405","unstructured",1405,174,6,"F.D.C2.E3.C1.D.F.E1.",5,"C1",11,26,7
"1406","unstructured",1406,174,6,"F.D.C2.E3.C1.D.F.E1.",6,"D",14,26,7
"1407","unstructured",1407,174,6,"F.D.C2.E3.C1.D.F.E1.",7,"F",24,26,7
"1408","unstructured",1408,174,6,"F.D.C2.E3.C1.D.F.E1.",8,"E1",21,26,7
"1409","unstructured",1409,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1410","unstructured",1410,175,6,"B.D.E3.F.E2.C1.D.A3.",1,"B",4,21,7
"1411","unstructured",1411,175,6,"B.D.E3.F.E2.C1.D.A3.",2,"D",14,21,7
"1412","unstructured",1412,175,6,"B.D.E3.F.E2.C1.D.A3.",3,"E3",23,21,7
"1413","unstructured",1413,175,6,"B.D.E3.F.E2.C1.D.A3.",4,"F",24,21,7
"1414","unstructured",1414,175,6,"B.D.E3.F.E2.C1.D.A3.",5,"E2",22,21,7
"1415","unstructured",1415,175,6,"B.D.E3.F.E2.C1.D.A3.",6,"C1",11,21,7
"1416","unstructured",1416,175,6,"B.D.E3.F.E2.C1.D.A3.",7,"D",14,21,7
"1417","unstructured",1417,175,6,"B.D.E3.F.E2.C1.D.A3.",8,"A3",3,21,7
"1418","unstructured",1418,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1419","unstructured",1419,176,6,"B.E2.A2.B.A3.D.",1,"B",4,4,7
"1420","unstructured",1420,176,6,"B.E2.A2.B.A3.D.",2,"E2",22,4,7
"1421","unstructured",1421,176,6,"B.E2.A2.B.A3.D.",3,"A2",2,4,7
"1422","unstructured",1422,176,6,"B.E2.A2.B.A3.D.",4,"B",4,4,7
"1423","unstructured",1423,176,6,"B.E2.A2.B.A3.D.",5,"A3",3,4,7
"1424","unstructured",1424,176,6,"B.E2.A2.B.A3.D.",6,"D",14,4,7
"1425","unstructured",1425,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1426","unstructured",1426,177,6,"E2.D.B.E1.A1.D.",1,"E2",22,7,7
"1427","unstructured",1427,177,6,"E2.D.B.E1.A1.D.",2,"D",14,7,7
"1428","unstructured",1428,177,6,"E2.D.B.E1.A1.D.",3,"B",4,7,7
"1429","unstructured",1429,177,6,"E2.D.B.E1.A1.D.",4,"E1",21,7,7
"1430","unstructured",1430,177,6,"E2.D.B.E1.A1.D.",5,"A1",1,7,7
"1431","unstructured",1431,177,6,"E2.D.B.E1.A1.D.",6,"D",14,7,7
"1432","unstructured",1432,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1433","unstructured",1433,178,6,"F.C1.B.C1.F.E3.A3.D.",1,"F",24,31,7
"1434","unstructured",1434,178,6,"F.C1.B.C1.F.E3.A3.D.",2,"C1",11,31,7
"1435","unstructured",1435,178,6,"F.C1.B.C1.F.E3.A3.D.",3,"B",4,31,7
"1436","unstructured",1436,178,6,"F.C1.B.C1.F.E3.A3.D.",4,"C1",11,31,7
"1437","unstructured",1437,178,6,"F.C1.B.C1.F.E3.A3.D.",5,"F",24,31,7
"1438","unstructured",1438,178,6,"F.C1.B.C1.F.E3.A3.D.",6,"E3",23,31,7
"1439","unstructured",1439,178,6,"F.C1.B.C1.F.E3.A3.D.",7,"A3",3,31,7
"1440","unstructured",1440,178,6,"F.C1.B.C1.F.E3.A3.D.",8,"D",14,31,7
"1441","unstructured",1441,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1442","unstructured",1442,179,6,"A3.F.B.C1.",1,"A3",3,3,7
"1443","unstructured",1443,179,6,"A3.F.B.C1.",2,"F",24,3,7
"1444","unstructured",1444,179,6,"A3.F.B.C1.",3,"B",4,3,7
"1445","unstructured",1445,179,6,"A3.F.B.C1.",4,"C1",11,3,7
"1446","unstructured",1446,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1447","unstructured",1447,180,6,"F.B.A3.D.E2.C3.D.E1.",1,"F",24,30,7
"1448","unstructured",1448,180,6,"F.B.A3.D.E2.C3.D.E1.",2,"B",4,30,7
"1449","unstructured",1449,180,6,"F.B.A3.D.E2.C3.D.E1.",3,"A3",3,30,7
"1450","unstructured",1450,180,6,"F.B.A3.D.E2.C3.D.E1.",4,"D",14,30,7
"1451","unstructured",1451,180,6,"F.B.A3.D.E2.C3.D.E1.",5,"E2",22,30,7
"1452","unstructured",1452,180,6,"F.B.A3.D.E2.C3.D.E1.",6,"C3",13,30,7
"1453","unstructured",1453,180,6,"F.B.A3.D.E2.C3.D.E1.",7,"D",14,30,7
"1454","unstructured",1454,180,6,"F.B.A3.D.E2.C3.D.E1.",8,"E1",21,30,7
"1455","unstructured",1455,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1456","unstructured",1456,181,6,"B.F.C3.B.F.A2.C2.A3.",1,"B",4,17,7
"1457","unstructured",1457,181,6,"B.F.C3.B.F.A2.C2.A3.",2,"F",24,17,7
"1458","unstructured",1458,181,6,"B.F.C3.B.F.A2.C2.A3.",3,"C3",13,17,7
"1459","unstructured",1459,181,6,"B.F.C3.B.F.A2.C2.A3.",4,"B",4,17,7
"1460","unstructured",1460,181,6,"B.F.C3.B.F.A2.C2.A3.",5,"F",24,17,7
"1461","unstructured",1461,181,6,"B.F.C3.B.F.A2.C2.A3.",6,"A2",2,17,7
"1462","unstructured",1462,181,6,"B.F.C3.B.F.A2.C2.A3.",7,"C2",12,17,7
"1463","unstructured",1463,181,6,"B.F.C3.B.F.A2.C2.A3.",8,"A3",3,17,7
"1464","unstructured",1464,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1465","unstructured",1465,182,6,"E2.B.F.C2.D.A1.F.C3.",1,"E2",22,24,7
"1466","unstructured",1466,182,6,"E2.B.F.C2.D.A1.F.C3.",2,"B",4,24,7
"1467","unstructured",1467,182,6,"E2.B.F.C2.D.A1.F.C3.",3,"F",24,24,7
"1468","unstructured",1468,182,6,"E2.B.F.C2.D.A1.F.C3.",4,"C2",12,24,7
"1469","unstructured",1469,182,6,"E2.B.F.C2.D.A1.F.C3.",5,"D",14,24,7
